Package,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,Archs,MD5sum,NeedsCompilation,Additional_repositories,Author,Authors@R,Biarch,BugReports,BuildKeepEmpty,BuildManual,BuildResaveData,BuildVignettes,Built,ByteCompile,Classification/ACM,Classification/ACM-2012,Classification/JEL,Classification/MSC,Classification/MSC-2010,Collate,Collate.unix,Collate.windows,Contact,Copyright,Date,Date/Publication,Description,Encoding,KeepSource,Language,LazyData,LazyDataCompression,LazyLoad,MailingList,Maintainer,Note,Packaged,RdMacros,StagedInstall,SysDataCompression,SystemRequirements,Title,Type,URL,UseLTO,VignetteBuilder,ZipData,Path,X-CRAN-Comment,Published,Reverse depends,Reverse imports,Reverse linking to,Reverse suggests,Reverse enhances,Deadline,DOI,ind_ggplot_depend_import_suggest,ind_gg,ind_ggplot_in_description,ind_extension_in_description,ext_score
flowmapper,0.1.3,NA,R (>= 2.10),"dplyr, ggplot2, tidyr, forcats, scales, purrr",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,8e5f7f19ee4e5a3cf38501e3a6e06522,no,NA,"Johannes Mast [aut, cre] (<https://orcid.org/0000-0001-6595-5834>)","
    person(""Johannes"", ""Mast"", ,""johannes.mast@dlr.de"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-6595-5834""))",NA,https://github.com/JohMast/flowmapper/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-15 12:00:04 UTC,Adds flow maps to 'ggplot2' plots. The flow maps consist of 'ggplot2' layers which visualize the nodes as circles and the bilateral flows between the nodes as bidirectional half-arrows.,UTF-8,NA,NA,true,NA,NA,NA,Johannes Mast <johannes.mast@dlr.de>,NA,2024-11-15 09:33:45 UTC; johan,NA,NA,NA,NA,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",NA,https://github.com/JohMast/flowmapper,NA,NA,NA,NA,NA,2024-11-15,NA,NA,NA,spanishoddata,NA,NA,10.32614/CRAN.package.flowmapper,TRUE,FALSE,TRUE,FALSE,1
forestmodel,0.6.2,NA,"R (>= 3.3.0), ggplot2 (>= 3.1.0)","dplyr (>= 0.8.0), broom (>= 0.5.0), rlang (>= 0.3.0), tibble
(>= 1.4.2)",NA,"survival, metafor, labelled",NA,GPL-2,NA,NA,NA,NA,30ba10e33f53eebd9590b053e93a19eb,no,NA,Nick Kennedy <r@nick-kennedy.com>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-19,2020-07-19 11:50:03 UTC,"Produces forest plots using 'ggplot2' from models produced by functions
    such as stats::lm(), stats::glm() and survival::coxph().",UTF-8,NA,NA,TRUE,NA,NA,NA,Nick Kennedy <r@nick-kennedy.com>,NA,2020-07-19 11:27:25 UTC; nickl,NA,NA,NA,NA,Forest Plots from Regression Models,Package,NA,NA,NA,NA,NA,NA,2020-07-19,NA,"csmpv, ezcox, live, metawho",NA,ricu,NA,NA,10.32614/CRAN.package.forestmodel,TRUE,FALSE,TRUE,FALSE,1
funnelR,0.1.0,NA,NA,"stats, ggplot2 (>= 2.2.1)",NA,"knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,95f31e52db0e7337a55fc88796b96105,no,NA,Matthew Kumar <mattkumar@gmail.com>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-14 10:18:33 UTC,"A set of simplified functions for creating funnel plots for proportion data. This package supports user defined benchmarks, confidence limits and estimation methods (i.e. exact or approximate) based on Spiegelhalter (2005) <doi:10.1002/sim.1970>. Additional routines for returning scored unit level data according to a set of specifications is also implemented for convenience. Specifically, both a categorical and a continuous score variable is returned to the sample data frame, which identifies which observations are deemed extreme or in control. Typically, such variables are useful as stratifications or covariates in further exploratory analyses. Lastly, the plotting routine returns a base funnel plot ('ggplot2'), which can also be tailored.",UTF-8,NA,NA,true,NA,NA,NA,Matthew Kumar <mattkumar@gmail.com>,NA,2018-03-13 20:33:50 UTC; Madette and Matt,NA,NA,NA,NA,Funnel Plots for Proportion Data,NA,https://matt-kumar.shinyapps.io/funnel/,NA,knitr,NA,NA,NA,2018-03-14,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.funnelR,TRUE,FALSE,TRUE,FALSE,1
gamlss.ggplots,2.1-12,NA,"R (>= 3.5.0), gamlss.dist, gamlss (>= 4.3.3), gamlss.foreach","methods, ggridges, ellipse, gamlss.inf, foreach, mgcv,
ggplot2, yaImpute",NA,"glmnet, reshape2, igraph, networkD3, grid, gridExtra",NA,GPL-2 | GPL-3,NA,NA,NA,NA,21350912055a7ef2524a23811aafa887,no,NA,"Mikis Stasinopoulos [aut, cre, cph]
    (<https://orcid.org/0000-0003-2407-5704>),
  Robert Rigby [aut] (<https://orcid.org/0000-0003-3853-1707>),
  Fernanda De Bastiani [aut] (<https://orcid.org/0000-0001-8532-639X>),
  Julian Merder [ctb]","c(person(""Mikis"", ""Stasinopoulos"", role = c(""aut"", ""cre"", ""cph""), 
             email = ""d.stasinopoulos@gre.ac.uk"", comment = c(ORCID = ""0000-0003-2407-5704"")),
           person(""Robert"", ""Rigby"", role = ""aut"", email = ""r.rigby@gre.ac.uk"", comment = c(ORCID = ""0000-0003-3853-1707"")),
           person(""Fernanda"", ""De Bastiani"", role = ""aut"", email = ""fernandadebastiani@gmail.com"", comment = c(ORCID = ""0000-0001-8532-639X"")),
           person(""Julian"", ""Merder"", role = ""ctb"")
           )",NA,https://github.com/gamlss-dev/gamlss.ggplots/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-21,2024-03-25 20:40:02 UTC,"Functions for plotting Generalized Additive Models for Location Scale and Shape from the 'gamlss' package, Stasinopoulos and Rigby (2007) <doi:10.18637/jss.v023.i07>, using the graphical methods from 'ggplot2'.",NA,NA,NA,NA,NA,yes,NA,Mikis Stasinopoulos <d.stasinopoulos@gre.ac.uk>,NA,2024-03-21 20:35:39 UTC; dimitriosstasinopoulos,NA,NA,NA,NA,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",NA,https://www.gamlss.com/,NA,NA,NA,NA,NA,2024-03-25,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gamlss.ggplots,TRUE,TRUE,TRUE,FALSE,2
gaussplotR,0.2.5,NA,R (>= 3.3.0),"ggplot2 (>= 3.3.0), metR (>= 0.7.0), rgl, viridisLite",NA,"lattice, knitr, rmarkdown, testthat",NA,GPL-3,NA,NA,NA,NA,6bdbfc3b29aa9394b186248ae0a08d5c,no,NA,"Vikram B. Baliga [aut, cre, cph]
    (<https://orcid.org/0000-0002-9367-8974>)","
    person(given = ""Vikram B."",
                 family = ""Baliga"", 
                 role = c(""aut"", ""cre"", ""cph""),
                 email = ""vbaliga87@gmail.com"",
                 comment = c(ORCID = ""0000-0002-9367-8974"")
                 )",NA,https://github.com/vbaliga/gaussplotR/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-02 20:10:02 UTC,"
    Functions to fit two-dimensional Gaussian functions, predict values from
    fits, and produce plots of predicted data via either 'ggplot2' or base R 
    plotting.",UTF-8,NA,NA,true,NA,NA,NA,Vikram B. Baliga <vbaliga87@gmail.com>,NA,2021-05-02 19:55:48 UTC; vbali,NA,NA,NA,NA,"Fit, Predict and Plot 2D Gaussians",Package,https://github.com/vbaliga/gaussplotR,NA,knitr,NA,NA,NA,2021-05-02,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gaussplotR,TRUE,FALSE,TRUE,FALSE,1
geofacet,0.2.1,NA,R (>= 3.2),"ggplot2 (>= 3.2.1), gtable, graphics, rnaturalearth, sp,
ggrepel, imguR, gridExtra, geogrid, methods, rlang",NA,"sf, testthat, covr, lintr, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,65ec3a39794898b76e51ed38c914b0c2,no,NA,"Ryan Hafen [aut, cre],
  Barret Schloerke [ctb]","c(
    person(""Ryan"", ""Hafen"", email = ""rhafen@gmail.com"", role = c(""aut"", ""cre"")),
    person(""Barret"", ""Schloerke"", email = ""schloerke@gmail.com"", role = ""ctb""))",NA,https://github.com/hafen/geofacet/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-30 08:00:11 UTC,"Provides geographical faceting functionality for 'ggplot2'.
    Geographical faceting arranges a sequence of plots of data for different
    geographical entities into a grid that preserves some of the geographical
    orientation.",UTF-8,NA,NA,true,NA,NA,NA,Ryan Hafen <rhafen@gmail.com>,NA,2023-11-29 19:10:50 UTC; rhafen,NA,NA,NA,NA,'ggplot2' Faceting Utilities for Geographical Data,NA,https://github.com/hafen/geofacet,NA,knitr,NA,NA,NA,2023-11-30,NA,geoheatmap,NA,"geoAr, geofi",NA,NA,10.32614/CRAN.package.geofacet,TRUE,FALSE,TRUE,FALSE,1
geomtextpath,0.1.5,NA,"ggplot2 (>= 3.5.0), R (>= 3.6.0)","grid, scales, systemfonts, rlang, textshaping (>= 0.4.0)",NA,"testthat (>= 3.0.0), covr, knitr, rmarkdown, ragg, roxygen2,
sf, xml2, markdown (>= 1.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,67501e3e9fcba9cc1a68ef17a3b7fde3,no,NA,"Allan Cameron [aut, cre],
  Teun van den Brand [aut] (<https://orcid.org/0000-0002-9335-7468>)","c(
    person(given = ""Allan"",
           family = ""Cameron"",
           role = c(""aut"", ""cre""),
           email = ""Allan.Cameron@nhs.scot""),
    person(given = ""Teun"",
           family = ""van den Brand"",
           role = c(""aut""),
           email = ""tahvdbrand@gmail.com"",
           comment = c(ORCID = ""0000-0002-9335-7468"")))",NA,https://github.com/AllanCameron/geomtextpath/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'borrowed_gridtext.R' 'coord_curvedpolar.R' 'data.R'
'text_params.R' 'geom_textpath.R' 'geom_labelpath.R'
'geom_textsegment.R' 'geom_textabline.R' 'geom_textcontour.R'
'geom_textcurve.R' 'geom_textdensity.R' 'utils.R'
'geom_textdensity2d.R' 'geom_texthline.R' 'geom_textsf.R'
'geom_textsmooth.R' 'geom_textvline.R' 'geomtextpath-package.R'
'grob_labelpath.R' 'grob_textpath.R' 'guide_axis_textpath.R'
'onload.R' 'path_handling.R' 'scales.R' 'sf_helpers.R'
'smoothing.R' 'text_helpers.R' 'text_placement.R'
'trig_helpers.R'",NA,NA,NA,NA,NA,2025-01-14 17:40:02 UTC,"A 'ggplot2' extension that allows text to follow curved paths.
    Curved text makes it easier to directly label paths or neatly annotate in 
    polar co-ordinates.",UTF-8,NA,NA,true,NA,NA,NA,Allan Cameron <Allan.Cameron@nhs.scot>,NA,2025-01-14 15:47:57 UTC; Administrator,NA,NA,NA,NA,Curved Text in 'ggplot2',Package,https://allancameron.github.io/geomtextpath/,NA,knitr,NA,NA,NA,2025-01-14,VisualizeSimon2Stage,"transPlotR, TransProR, triptych",NA,"centerline, deeptime, ggDoE, gghighlight, hmsidwR, nestedLogit, plot4fun",NA,NA,10.32614/CRAN.package.geomtextpath,TRUE,FALSE,TRUE,TRUE,2
gg.gap,1.3,NA,NA,"ggplot2, cowplot, grid",NA,NA,NA,GPL-3,NA,NA,NA,NA,a22be06d599f5942d6c58663976a3f0c,no,NA,"Jiacheng Lou [aut, cre],
  Jing Zhang [aut],
  Yizhu Lvy [aut],
  Zhi Jin [aut]","c(
    person(""Jiacheng"", ""Lou"", email = ""loujiacheng1986@foxmail.com"", role = c(""aut"", ""cre"")),
    person(""Jing"", ""Zhang"", role = ""aut""),
    person(""Yizhu"", ""Lvy"", role = ""aut""),
    person(""Zhi"", ""Jin"", role = ""aut"")
    )",NA,https://github.com/ChrisLou-bioinfo/gg.gap/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-30 16:10:02 UTC,It is not very easy to define segments for y-axis in a 'ggplot2' plot. gg.gap() function in this package can carry it out.,UTF-8,NA,NA,true,NA,NA,NA,Jiacheng Lou <loujiacheng1986@foxmail.com>,NA,2019-09-23 15:12:20 UTC; asus,NA,NA,NA,NA,Define Segments in y-Axis for 'ggplot2',Package,https://github.com/ChrisLou-bioinfo/gg.gap,NA,NA,NA,NA,NA,2019-09-30,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gg.gap,TRUE,TRUE,TRUE,FALSE,2
gg1d,0.1.0,NA,R (>= 2.10),"assertions (>= 0.2.0), cli, ggiraph, ggplot2, ggtext,
patchwork (>= 1.3.0), rank (>= 0.1.1), rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,1c87fca973194930b692eba8ca8ec5f8,no,NA,"Sam El-Kamand [aut, cre] (<https://orcid.org/0000-0003-2270-8088>),
  Children's Cancer Institute Australia [cph]","
    c(
      person(""Sam"", ""El-Kamand"", , ""sam.elkamand@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0003-2270-8088"")),
      person(""Children's Cancer Institute Australia"", role = c(""cph""))
     )",NA,https://github.com/selkamand/gg1d/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-09 19:40:02 UTC,"Streamlines exploratory data analysis by providing a turnkey approach 
  to visualising n-dimensional data which graphically reveals correlative or associative relationships 
  between 2 or more features. Represents all dataset features as distinct, vertically 
  aligned bar or tile plots, with plot types auto-selected based on whether variables are categorical or numeric.",UTF-8,NA,NA,true,NA,NA,NA,Sam El-Kamand <sam.elkamand@gmail.com>,NA,2024-12-07 01:39:11 UTC; selkamand,NA,NA,NA,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,NA,"https://github.com/selkamand/gg1d,
https://selkamand.github.io/gg1d/",NA,NA,NA,NA,NA,2024-12-09,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gg1d,TRUE,TRUE,FALSE,FALSE,1
ggalign,0.1.0,NA,ggplot2 (>= 3.3.0),"cli, grDevices, grid, gtable, lifecycle, methods, rlang (>=
1.1.0), stats, utils, vctrs (>= 0.5.0)",NA,"ggrastr, gridGraphics, magick, patchwork, ragg, knitr,
rmarkdown, scales, testthat (>= 3.0.0), vdiffr",NA,MIT + file LICENSE,NA,NA,NA,NA,b0a49f25cd84c79cf40daee59a86b341,no,NA,"Yun Peng [aut, cre] (<https://orcid.org/0000-0003-2801-3332>),
  Shixiang Wang [aut] (<https://orcid.org/0000-0001-9855-7357>),
  Guangchuang Yu [aut] (<https://orcid.org/0000-0002-6485-8781>)","c(
        person(""Yun"", ""Peng"", , ""yunyunp96@163.com"", role = c(""aut"", ""cre""), comment = c(ORCID = ""0000-0003-2801-3332"")),
        person(""Shixiang"", ""Wang"", , ""w_shixiang@163.com"", role = ""aut"", comment = c(ORCID = ""0000-0001-9855-7357"")),
        person(""Guangchuang"", ""Yu"", email = ""guangchuangyu@gmail.com"", role = ""aut"", comment = c(ORCID = ""0000-0002-6485-8781""))
    )",NA,https://github.com/Yunuuuu/ggalign/issues,NA,NA,NA,NA,NA,true,NA,NA,NA,NA,NA,"'active.R' 'plot-.R' 'align-.R' 'align-hclust.R'
'align-dendrogram.R' 'align-group.R' 'align-kmeans.R'
'align-order.R' 'align-phylo.R' 'align-reorder.R'
'alignpatch-.R' 'alignpatch-align_plots.R'
'alignpatch-alignpatches.R' 'alignpatch-area.R'
'alignpatch-build.R' 'alignpatch-free-align.R'
'alignpatch-free-border.R' 'alignpatch-free-guide.R'
'alignpatch-free-lab.R' 'alignpatch-free-space.R'
'alignpatch-free-vp.R' 'alignpatch-ggplot2.R'
'alignpatch-guides.R' 'alignpatch-inset.R'
'alignpatch-patchwork.R' 'alignpatch-title.R'
'alignpatch-wrap.R' 'cross-.R' 'cross-link.R' 'cross-mark.R'
'cross-none.R' 'dendrogram.R' 'fortify-data-frame.R'
'fortify-matrix.R' 'geom-draw.R' 'geom-draw2.R' 'geom-pie.R'
'geom-subrect.R' 'geom-tile3d.R' 'ggalign-package.R'
'ggalign.R' 'ggcross.R' 'ggfree.R' 'ggmark.R' 'ggplot-helper.R'
'ggplot-theme.R' 'ggplot-utils.R' 'import-standalone-assert.R'
'import-standalone-obj-type.R' 'import-standalone-purrr.R'
'import-standalone-tibble.R' 'layer-order.R' 'layout-.R'
'layout-align.R' 'layout-chain-.R' 'layout-chain-operator.R'
'layout-circle-.R' 'layout-circle-build.R'
'layout-circle-switch.R' 'layout-quad-.R' 'layout-heatmap-.R'
'layout-heatmap-build.R' 'layout-heatmap-oncoplot.R'
'layout-quad-operator.R' 'layout-operator.R'
'layout-quad-add.R' 'layout-quad-build.R'
'layout-quad-switch.R' 'layout-quad-upset.R' 'layout-stack-.R'
'layout-stack-build.R' 'layout-stack-composer.R'
'layout-stack-cross.R' 'layout-stack-switch.R' 'link.R'
'maftools.R' 'mark.R' 'object-name.R' 'pair-links.R'
'raster-magick.R' 'rasterise.R' 'scheme-.R' 'scheme-align.R'
'scheme-data.R' 'scheme-theme.R' 'tune.R' 'utils-assert.R'
'utils-grid.R' 'utils-rd.R' 'utils.R' 'with_quad.R' 'zzz.R'",NA,NA,NA,NA,NA,2025-02-06 12:10:03 UTC,"A 'ggplot2' extension offers various tools for organizing and arranging plots. 
    It is designed to consistently align a specific axis across multiple 'ggplot' objects, 
    making it especially useful for plots requiring data order manipulation. A typical use 
    case includes organizing combinations like a dendrogram and a heatmap.",UTF-8,NA,en-GB,NA,NA,NA,NA,Yun Peng <yunyunp96@163.com>,NA,2025-02-06 11:48:15 UTC; yun,NA,NA,NA,NA,A 'ggplot2' Extension for Consistent Axis Alignment,NA,"https://github.com/Yunuuuu/ggalign,
https://yunuuuu.github.io/ggalign/",NA,NA,NA,NA,NA,2025-02-06,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggalign,TRUE,TRUE,TRUE,TRUE,3
ggaligner,0.1,NA,NA,"ggplot2, ggmsa, reshape2",NA,NA,NA,GPL-3,NA,NA,NA,NA,01779716f428a8de6ef0408ac9370779,no,NA,"Mohamed Soudy [aut, cre]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-14 16:22:05 UTC,"Providing publication-ready graphs for Multiple sequence alignment. Moreover, it provides a unique solution for visualizing the multiple sequence alignment without the need to do the alignment in each run which is a big limitation in other available packages.",UTF-8,NA,NA,NA,NA,NA,NA,Mohamed Soudy <MohmedSoudy2009@gmail.com>,NA,2023-06-13 18:43:32 UTC; Soudy,NA,NA,NA,NA,"Visualizing Sequence Alignment by Generating Publication-Ready
Plots",NA,NA,NA,NA,NA,NA,NA,2023-06-14,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggaligner,TRUE,TRUE,FALSE,FALSE,1
ggalignment,1.0.2,NA,R (>= 3.4),"dplyr (>= 1.0.0), ggimage (>= 0.2.0), ggplot2 (>= 3.3.0),
magrittr (>= 1.0.0), rlang (>= 0.1.2)",NA,"rmarkdown (>= 2.0.0), knitr (>= 1.0), testthat (>= 3.0.0),
vdiffr (>= 1.0.0), roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,6291febcb69d65d9531680f0fbbcbd92,no,NA,"Afton Coombs [aut, cre, cph],
  Tan Ho [ctb] (<https://orcid.org/0000-0001-8388-5155>)","
    c(person(given = ""Afton"",
            family = ""Coombs"",
            role = c(""aut"", ""cre"", ""cph""),
            email = ""aftoncoombs@gmail.com""),
      person(given = ""Tan"", 
            family = ""Ho"", 
            role = c(""ctb""), 
            email = ""tan@tanho.ca"", 
            comment = c(ORCID = ""0000-0001-8388-5155"")))",NA,https://github.com/aftonsteps/ggalignment/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-24 05:50:02 UTC,"'D&D' alignment charts show 9 boxes with values for good
    through evil and values for chaotic through lawful. This package
    easily creates these alignment charts from user-provided image paths
    and alignment values.",UTF-8,NA,NA,true,NA,NA,NA,Afton Coombs <aftoncoombs@gmail.com>,NA,2025-02-24 01:23:05 UTC; aftoncoombs,NA,NA,NA,NA,Plots 'D&D'-Style Alignment Charts,Package,https://github.com/aftonsteps/ggalignment,NA,knitr,NA,NA,NA,2025-02-24,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggalignment,TRUE,TRUE,FALSE,FALSE,1
ggallin,0.1.1,NA,ggplot2 (>= 2.2.1),"scales, grid",NA,"knitr, testthat",NA,LGPL-3,NA,NA,NA,NA,451a2787b14cde14c19b96acdab48e10,no,NA,"Steven E. Pav [aut, cre]","c(person(c(""Steven"", ""E.""), ""Pav"", role=c(""aut"",""cre""), 
    email=""shabbychef@gmail.com""))",NA,https://github.com/shabbychef/ggallin/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'geom_cloud.R' 'ggallin.R' 'transforms.R',NA,NA,NA,NA,2017-10-01,2017-10-02 23:24:58 UTC,"Extra geoms and scales for 'ggplot2', including geom_cloud(),
  a Normal density cloud replacement for errorbars;
  transforms ssqrt_trans and pseudolog10_trans, which are loglike but 
  appropriate for negative data; interp_trans() and warp_trans() which
  provide scale transforms based on interpolation;
  and an infix compose operator for scale transforms.",NA,NA,NA,NA,NA,NA,NA,Steven E. Pav <shabbychef@gmail.com>,NA,2017-10-02 03:25:49 UTC; spav,NA,NA,NA,NA,Grab Bag of 'ggplot2' Functions,Package,https://github.com/shabbychef/ggallin,NA,NA,NA,NA,NA,2017-10-02,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggallin,TRUE,TRUE,TRUE,FALSE,2
ggalluvial,0.12.5,NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,GPL-3,NA,NA,NA,NA,fa28d48c3a3b6f8c8a61ee6436204e27,no,NA,"Jason Cory Brunson [aut, cre],
  Quentin D. Read [aut]","c(
    person(given = ""Jason Cory"",
           family = ""Brunson"",
           role = c(""aut"", ""cre""),
           email = ""cornelioid@gmail.com""),
    person(given = ""Quentin D."",
           family = ""Read"",
           role = 'aut'))",NA,https://github.com/corybrunson/ggalluvial/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-22 09:50:02 UTC,"Alluvial plots use variable-width ribbons and stacked bar plots to
    represent multi-dimensional or repeated-measures data with categorical or
    ordinal variables; see Riehmann, Hanfler, and Froehlich (2005)
    <doi:10.1109/INFVIS.2005.1532152> and Rosvall and Bergstrom (2010)
    <doi:10.1371/journal.pone.0008694>.
    Alluvial plots are statistical graphics in the sense of Wilkinson (2006)
    <doi:10.1007/0-387-28695-0>; they share elements with Sankey diagrams and
    parallel sets plots but are uniquely determined from the data and a small
    set of parameters. This package extends Wickham's (2010)
    <doi:10.1198/jcgs.2009.07098> layered grammar of graphics to generate
    alluvial plots from tidy data.",UTF-8,NA,NA,true,NA,NA,NA,Jason Cory Brunson <cornelioid@gmail.com>,NA,2023-02-13 15:44:19 UTC; jason.brunson,NA,NA,NA,NA,Alluvial Plots in 'ggplot2',Package,http://corybrunson.github.io/ggalluvial/,NA,knitr,NA,NA,NA,2023-02-22,multiWGCNA,"bandle, easyalluvial, ethnobotanyR, ggtaxplot, immunarch, iotarelr, LorMe, MultiRNAflow, MutationalPatterns, pacta.multi.loanbook, Platypus, projectR, scRepertoire, standR, vvshiny",NA,"ISAnalytics, LegATo, longmixr, metasnf, MicrobiotaProcess, nuts, pcutils, plotly, plotthis, profiplots, SCpubr, sigminer",NA,NA,10.32614/CRAN.package.ggalluvial,TRUE,TRUE,FALSE,FALSE,1
