"","name","thumbnail","url","ghuser","ghrepo","tags","cran","ghauthor","short","description"
"17","ggmuller","images/ggmuller.png","https://cran.r-project.org/web/packages/ggmuller/index.html","robjohnnoble","ggmuller","visualization,evolution,dynamics","true","robjohnnoble","Creates Muller plots for visualizing evolutionary dynamics.","An attempt to set an easy-to-use standard for representing evolutionary dynamics.Should prove useful to researchers in experimental evolution, cancer research, population genetics, and beyond."
"18","ggstance","images/ggstance.png","https://github.com/lionel-/ggstance","lionel-","ggstance","visualization,general","true","lionel-","ggstance implements horizontal versions of common ggplot2 geoms.",">"
"19","ggrepel","images/ggrepel.png","https://github.com/slowkow/ggrepel","slowkow","ggrepel","visualization,general","true","slowkow","Repel overlapping text labels away from each other.",">"
"20","ggraph","images/ggraph.png","https://github.com/thomasp85/ggraph","thomasp85","ggraph","visualization,general","true","thomasp85","ggraph is tailored at plotting graph-like data structures (graphs, networks, trees, hierarchies...).",">"
"21","gginnards","images/gginnards.png","https://docs.r4photobiology.info/gginnards","aphalo","gginnards","visualization,general,layer manipulation,debug","true","aphalo","Find, delete, insert and move plot layers. Delete unused variables from the data stored within a ggplot object. Dump data to the R console.","Package ‘gginnards’ is a set of extensions to R package ‘ggplot2’ (>= 3.0.0). Provides tools making easy to edit and explore ggplot objects.It also provides stats and geom that can be used to dump the data input to geoms and stats to the R console or to summarize it using arbitraryfunctions and then dumping the summary to the R console."
"22","ggpp","images/ggpp.png","https://docs.r4photobiology.info/ggpp","aphalo","ggpp","visualization,general","true","aphalo","Plot annotations, data labels, plot insets, filter labels by local density (geoms, statistics, positions).","Package ‘ggpp’ (Grammar Extensions) is a set of extensions to R package ‘ggplot2’ (>= 3.0.0). Provides `geom_plot()`, `geom_grob()`, `geom_table()` and `stat_fmt_tb()` for insets. Constructors ggplot.ts()` and `ggplot.xts()`. Geometries for margin annotations. Selective annotation of observations in high/low density plot regions and nudging  away from lines or focal points, compatible with `geom_text_repel()` and `geom_label_repel()` from package ‘ggrepel’."
"23","ggpmisc","images/ggpmisc.png","https://docs.r4photobiology.info/ggpmisc","aphalo","ggpmisc","visualization,statistics,general","true","aphalo","Model equation, line, residuals (lm, quantile, MA, rlm, etc.), P, F, AIC, BIC, n, correlation, ANOVA and summary tables, multiple comparisons, peaks and valleys, centroid, data labels.","Package ‘ggpmisc’ (Miscellaneous Extensions to ‘ggplot2’) is a set ofextensions to R package ‘ggplot2’ (>= 3.0.0) with emphasis on annotationsand highlighting related to fitted models and data summaries. scalessuitable for volcano and quadrant plots. Stats for locating peaks andvalleys. See also packages 'gginnards' and 'ggpp' for functions previouslyincluded in 'ggpmisc'."
"24","geomnet","images/geomnet.png","https://github.com/sctyner/geomnet","sctyner","geomnet","visualization,general","false","sctyner","geomnet implements network visualizations in ggplot2 via geom_net.",">"
"25","ggExtra","images/ggExtra.png","https://github.com/daattali/ggExtra","daattali","ggExtra","histogram,marginal,density","true","daattali","ggExtra lets you add marginal density plots or histograms to ggplot2 scatterplots.",">"
"26","ggfortify","images/ggfortify.png","https://github.com/sinhrks/ggfortify","sinhrks","ggfortify","visualization,general","true","terrytangyuan","The unified interface to ggplot2 many popular statistical pakackage results.","Unified plotting tools for statistics commonly used, such as GLM, time series,PCA families, clustering and survival analysis. The package offers a singleplotting interface for these analysis results and plots in a unified styleusing 'ggplot2'."
"27","autoplotly","images/ggfortify.png","https://github.com/terrytangyuan/autoplotly","terrytangyuan","autoplotly","visualization,general","true","terrytangyuan","Automatic generation of interactive visualizations for popular statistical results.","Automatically generate interactive visualizations for popular statistical resultssupported by 'ggfortify', such as time series, PCA, clustering and survival analysis,with 'plotly.js' <https://plot.ly/>  and 'ggplot2' style. The generated visualizationscan also be easily extended using 'ggplot2' and 'plotly' syntax while staying interactive."
"28","gganimate","images/gganimate.gif","https://gganimate.com","thomasp85","gganimate","visualization,general","true","thomasp85","A Grammar of Animated Graphics.","The grammar of graphics as implemented in the 'ggplot2' package hasbeen successful in providing a powerful API for creating static visualisation. In order to extend the API for animated graphics this packageprovides a completely new set of grammar, fully compatible with 'ggplot2' for specifying transitions and animations in a flexible and extensible way."
"29","ggfx","images/ggfx.png","https://ggfx.data-imaginist.com/","thomasp85","ggfx","visualization,general","true","thomasp85","Pixel Filters for 'ggplot2' and 'grid'","Provides a range of filters that can be applied to layers from the 'ggplot2' package and its extensions, along with other graphic elements such as guides and theme elements. The filters are applied at render time and thus uses the exact pixel dimensions needed."
"30","plotROC","images/plotROC.png","https://github.com/sachsmc/plotROC","sachsmc","plotROC","visualization,general","true","sachsmc","plotROC provides functions to generate an interactive ROC curve plot for web use, and print versions.",">"
"31","ggbump","images/ggbump.png","https://github.com/davidsjoberg/ggbump","davidsjoberg","ggbump","visualization,general,geoms","true","davidsjoberg","Bump Chart and Sigmoid Curves.","A geom for ggplot to create bump plots. Can be good to use for showing rank over time."
"32","ggthemes","images/ggthemes.png","https://github.com/jrnold/ggthemes","jrnold","ggthemes","visualization,general,themes","true","jrnold","Some extra geoms, scales, and themes for ggplot.",">"
"33","ggspectra","images/ggspectra.png","https://docs.r4photobiology.info/ggspectra","aphalo","ggspectra","visualization,general","true","aphalo","Plot light-related spectra, peaks, valleys, half maximum, labels with summaries and colours from spectral data (autoplot, stats, geoms, scales).","The goal of ‘ggspectra’ is to make it easy to plot radiation spectra andsimilar data, such and transmittance, absorbance and reflectance spectra,producing fully annotated publication- and presentation-ready plots.Package ‘ggspectra’ provides stats, geoms, scales and functions to beused for plotting radiation-related spectra and annotating the plots withquantities derived from spectral data. All summary quantities implementedin ‘photobiology’ can be used for annotations including biologicallyeffective irradiances and exposures."
"34","ggstatsplot","images/ggstatsplot.png","https://github.com/IndrajeetPatil/ggstatsplot","IndrajeetPatil","ggstatsplot","visualization,statistics","true","IndrajeetPatil","'ggstatsplot' provides a collection of functions to enhance 'ggplot2'plots with results from statistical tests.","Extension of 'ggplot2', 'ggstatsplot' creates graphics withdetails from statistical tests included in the plots themselves. Itprovides an easier syntax to generate information-rich plots forstatistical analysis of continuous (violin plots, scatterplots,histograms, dot plots, dot-and-whisker plots) or categorical (pie andbar charts) data. Currently, it supports the most common types ofstatistical approaches and tests"
"35","ggnetwork","images/ggnetwork.png","https://github.com/briatte/ggnetwork","briatte","ggnetwork","visualization,general","true","briatte","The ggnetwork package provides a way to build network plots with ggplot2.",">"
"36","ggtech","images/ggtech.png","https://github.com/ricardo-bion/ggtech","ricardo-bion","ggtech","visualization,general,themes","false","ricardo-bion","ggplot2 tech themes, scales, and geoms.",">"
"37","ggradar","images/ggradar.png","https://github.com/ricardo-bion/ggradar","ricardo-bion","ggradar","visualization,general","false","ricardo-bion","ggradar allows you to build radar charts with ggplot2.",">"
"38","ggx","images/ggx.png","https://github.com/brandmaier/ggx","brandmaier","ggx","visualization,nlp","true","brandmaier","A Natural Language Interface to 'ggplot2'.","The 'ggplot2' package is the state-of-the-art toolbox for creating and formatting graphs. However, it is easy to forget how certain formatting commands are named and sometimes users find themselves asking"
"39","ggTimeSeries","images/ggTimeSeries.png","https://github.com/Ather-Energy/ggTimeSeries","Ather-Energy","ggTimeSeries","visualization,general","true","Ather-Energy","This R package offers novel time series visualisations.",">"
"40","ggtree","images/ggtree.png","https://guangchuangyu.github.io/ggtree","GuangchuangYu","ggtree","visualization,general","false","GuangchuangYu","gtree is designed for visualizing phylogenetic tree and different types of associated annotation data.",">"
"41","ggseas","images/ggseas.png","https://github.com/ellisp/ggseas","ellisp","ggseas","visualization,general","true","ellisp","Seasonal adjustment on the fly extension for ggplot2.",">"
"42","ggsci","images/ggsci.png","https://nanx.me/ggsci/","road2stat","ggsci","visualization,general","true","road2stat","A collection of ‘ggplot2’ color palettes inspired by scientific journals and science fiction TV shows.",">"
"43","ggmosaic","images/ggmosaic.png","https://github.com/haleyjeppson/ggmosaic","haleyjeppson","ggmosaic","visualization,general","true","haleyjeppson","ggmosaic implements mosaic plots in ‘ggplot2’ via geom_mosaic.",">"
"44","survminer","images/survminer.png","http://www.sthda.com/english/rpkgs/survminer/","kassambara","survminer","visualization,survival","true","kassambara","Drawing Survival Curves using 'ggplot2'","Contains the function 'ggsurvplot()' for drawing easily beautiful and 'ready-to-publish' survival curves with the 'number at risk' table. Other functions are also available for visual examinations of 'cox' model assumptions."
"45","ggeasy","images/ggeasy.png","https://jonocarroll.github.io/ggeasy/","jonocarroll","ggeasy","visualization,teaching","true","jonocarroll","Easy Access to 'ggplot2' Commands","Provides a series of aliases to commonly used but difficult to remember 'ggplot2' sequences."
"46","ggside","images/ggside.png","https://github.com/jtlandis/ggside","jtlandis","ggside","visualization,correlation","true","jtlandis","Side Grammar Graphics","The grammar of graphics as shown in 'ggplot2' has providedan expressive API for users to build plots. 'ggside' extends 'ggplot2' by allowing users to add graphical information about one of the main panel'saxis using a familiar 'ggplot2' style API with tidy data. This package isparticularly useful for visualizing metadata on a discrete axis, or summarygraphics on a continuous axis such as a boxplot or a density distribution."
"47","ggcorrplot","images/ggcorrplot.png","https://rpkgs.datanovia.com/ggcorrplot/","kassambara","ggcorrplot","visualization,correlation","true","kassambara","Visualization of a correlation matrix using 'ggplot2'","The 'ggcorrplot' package can be used to visualize easily acorrelation matrix using 'ggplot2'. It provides a solution for reordering thecorrelation matrix and displays the significance level on the plot. It alsoincludes a function for computing a matrix of correlation p-values."
"48","ggpubr","images/ggpubr.png","https://rpkgs.datanovia.com/ggpubr/","kassambara","ggpubr","visualization,statistics","true","kassambara","‘ggplot2’ Based Publication Ready Plots","The 'ggplot2' package is excellent and flexible for elegant datavisualization in R. However the default generated plots requires some formattingbefore we can send them for publication. Furthermore, to customize a 'ggplot',the syntax is opaque and this raises the level of difficulty for researcherswith no advanced R programming skills. 'ggpubr' provides some easy-to-usefunctions for creating and customizing 'ggplot2'- based publication ready plots."
"49","ggthemr","images/cttobin-ggthemr.png","https://github.com/cttobin/ggthemr","cttobin","ggthemr","visualization,general,themes","false","cttobin",">","Themes for ggplot. The idea of this package is that you can just set the theme and then forget about it. You should not have to change any of your existing code."
"50","GGally","images/ggally.png","https://ggobi.github.io/ggally/","ggobi","ggally","visualization,general","true","ggobi"," ggally extends 'ggplot2' by adding several functions to reduce the complexity of combining geometric objects with transformed data."," ggplot2 is a plotting system based on the grammar of graphics. 'GGally' extends 'ggplot2' by adding several functions to reduce the complexity of combining geometric objects with transformed data. Some of these functions include a pairwise plot matrix, a two group pairwise plot matrix, a parallel coordinates plot, a survival plot, and several functions to plot networks."
"51","ggseqlogo","images/ggseqlogo.png","https://github.com/omarwagih/ggseqlogo","omarwagih","ggseqlogo","visualization,general","true","omarwagih"," Publication-ready sequence logos using ggplot2."," ggseqlogo extends 'ggplot2' allowing users to flexibily plot sequence logos."
"52","ggChernoff","images/ggChernoff.png","https://github.com/Selbosh/ggChernoff","Selbosh","ggChernoff","visualization","true","Selbosh"," Visualise multivariate data using human faces"," Adds geoms, scales and aesthetics to plot 'Chernoff' faces that vary their expression according to your data. Make your data smile or frown, angry or straight-faced, with continuous scales and legend support."
"53","ggridges","images/ggridges.png","https://cran.r-project.org/web/packages/ggridges/vignettes/introduction.html","clauswilke","ggridges","visualization,general","true","clauswilke","Ridgeline plot geoms for 'ggplot2'","Ridgeline plots provide a convenient way of visualizing changes in distributions over time or space. This package enables the creation of such plots in 'ggplot2'."
"54","lemon","images/lemon.png","https://github.com/stefanedwards/lemon","stefanedwards","lemon","visualization,brackets,axis","true","stenfanedwards","Repositioning legends and adding brackets to axes to 'ggplot2'.","Functions for working with legends and axis lines of 'ggplot2', facets that repeat axis lines on all panels, and some 'knitr' extensions."
"55","cowplot","images/cowplot.png","https://cran.r-project.org/web/packages/cowplot/vignettes/introduction.html","wilkelab","cowplot","visualization,general,themes","true","clauswilke","Streamlined plot theme and plot annotations for 'ggplot2'","The package provides a streamlined and clean theme that is used in the Wilke lab, hence the package name, which stands for Claus O. Wilke's plot package. The package also provide functionality to combine multiple 'ggplot2' plots into one, align them, and label them with letters, e.g. A, B, C, etc., as is often required for scientific publications."
"56","qqplotr","images/qqplotr.png","https://github.com/aloy/qqplotr","aloy","qqplotr","quantile-quantile,probability-probability","true","almeidaxan","Quantile-quantile and probability-probability plot extensions for 'ggplot2'","The package extends some 'ggplot2' functionalities by permitting the drawing of quantile-quantile (Q-Q) and probability-probability (P-P) points, lines, and confidence bands. The functions of this package also allow the detrend adjustment, previously proposed in the literature to help reduce visual bias when assessing those type of plots."
"57","ggalluvial","images/ggalluvial.png","https://github.com/corybrunson/ggalluvial","corybrunson","ggalluvial","visualization,categorical,time series","true","corybrunson","A 'ggplot2' extension for alluvial diagrams.","Alluvial diagrams encompass a variety of charts that use x-splines (alluvia and flows), sometimes augmented with stacked bars (lodes or strata), to visualize incidence structures derived from several data types, including repeated categorical measures, evolving classifications, and multi-dimensional categorical data. This package contains stats and geoms that interpret multiple data formats compatible with this framework while hewing to the principles of tidy data and the grammar of graphics."
"58","patchwork","images/thomasp85-patchwork.png","https://github.com/thomasp85/patchwork#patchwork","thomasp85","patchwork","visualization,composition","true","thomasp85","Easy composition of ggplot plots using arithmetic operators","ggplot2 is concerned with single plots, facets notwithstanding, and does not provide a native way to compose multiple plots. patchwork extends the standard ggplot2 API to allow composition with the '+' operator as well as other the means to customize the layout and nest sub-arrangements."
"59","ggquiver","images/ggquiver.png","https://github.com/mitchelloharawild/ggquiver","mitchelloharawild","ggquiver","visualization,quiver,velocity,vector","true","mitchelloharawild","Quiver/velocity plots for 'ggplot2'.","Quiver plots are common a common visualisation method for vector fields. 'ggquiver' provides a new geom which simplifies the creation of these plots, with scaling and centering functionality."
"60","ggsignif","images/ggsignif.png","https://github.com/const-ae/ggsignif","const-ae","ggsignif","visualization,multiple comparisons","true","const-ae and IndrajeetPatil","Significance Brackets for 'ggplot2'.","Enrich your 'ggplots' with group-wise comparisons.This package provides an easy way to indicate if two groups aresignificantly different. Commonly this is shown by a bracket on topconnecting the groups of interest which itself is annotated with thelevel of significance (NS, *, **, ***).  The package provides a singlelayer (geom_signif()) that takes the groups for comparison and thetest (t.test(), wilcox.text() etc.) as arguments and adds theannotation to the plot."
"61","ggdag","images/ggdag.png","https://ggdag.malco.io/","malcolmbarrett","ggdag","visualization,dags,inference","true","malcolmbarrett","Causal directed acyclic graphs (DAGs) in `ggplot2`","Tidy, visualize, and analyze causal DAGs. `ggdag` fuses the `dagitty` package, which contains powerful algorithms for analyzing causal diagrams, with the flexibility of `ggplot2` and `ggraph`."
"62","ggformula","images/projectmosaic-ggformula.png","https://projectmosaic.github.io/ggformula/","ProjectMOSAIC","ggformula","visualization,general,interface","true","rpruim","`ggplot2` via formulas and pipes","`ggformula` provides a formula-based interface for `ggplot2` that uses pipes (`%>%`) for layering."
"63","ggbeeswarm","images/ggbeeswarm.png","https://github.com/eclarke/ggbeeswarm","eclarke","ggbeeswarm","visualization, beeswarm, categorical","true","Erik Clarke and Scott Sherrill-Mix","Create beeswarm plots, which avoids overlapping datapoints.","Beeswarm plots (aka column scatter plots or violin scatter plots) are a way of plotting points that would ordinarily overlap so that they fall next to each other instead. In addition to reducing overplotting, it helps visualize the density of the data at each point (similar to a violin plot), while still showing each data point. `ggbeeswarm `provides two different methods to create beeswarm-style plots using ggplot2. `geom_quasirandom()` uses a van der Corput sequence or Tukey texturing  o space the dots to avoid overplotting. `geom_beeswarm()` uses the Aron Ecklund's `beeswarm` library to do point-size based offset."
"64","ggperiodic","images/ggperiodic-cos.png","https://github.com/eliocamp/ggperiodic","eliocamp","ggperiodic","visualization,periodic","true","eliocamp","Automagically augment periodic data in `ggplot2`","Allows you to wrap periodic data to any arbitrary domain automatically inside the ggplot2 call."
"65","ggpol","images/erocoar-ggpol.png","https://github.com/erocoar/ggpol","erocoar","ggpol","visualization,general","true","erocoar","ggpol adds parliament diagrams and several other geoms to ggplot2.",">"
"66","ggpirate","images/ggpirate.png","https://github.com/mikabr/ggpirate","mikabr","ggpirate","visualization","false","mikabr","Pirate plots for `ggplot2`","A pirate plot (as seen in Nathaniel Phillips's package `yarrr`) is a way of displaying data where a continuous dependent variable is a function of a categorical independent variable, in a more informative way than the traditional barplot. `ggpirate` creates customizable versions of these plots with a single `ggplot2` `geom`, `geom_pirate`."
"67","esquisse","images/esquisse.png","https://github.com/dreamRs/esquisse","dreamrs","esquisse","visualization,interface","true","dreamrs","Explore and Visualize Your Data Interactively with `ggplot2`","A 'shiny' gadget to create 'ggplot2' charts interactively with drag-and-drop to map your variables. You can quickly visualize your data accordingly to their type, export to 'PNG' or 'PowerPoint', and retrieve the code to reproduce the chart."
"68","ggdark","images/nsgrantham-ggdark.png","https://github.com/nsgrantham/ggdark","nsgrantham","ggdark","visualization,general,themes","true","nsgrantham","Dark Mode for `ggplot2` Themes","Activate dark mode on your favorite `ggplot2` theme with `dark_mode()` or use the dark versions of native `ggplot2` themes, including `dark_theme_gray()`, `dark_theme_minimal()`, and others."
"69","sugrrants","images/sugrrants.png","https://pkg.earo.me/sugrrants","earowang","sugrrants","visualization,calendar,time-series","true","earowang","Supporting Graphs for Analysing Temporal Data with `ggplot2`.","Provides 'ggplot2' graphics for analysing temporal data. It aims tofit into the 'tidyverse' and grammar of graphics framework for handlingtemporal data."
"70","tvthemes","images/ryo-n7-tvthemes.png","https://github.com/Ryo-N7/tvthemes","Ryo-N7","tvthemes","visualization,general,palettes,themes","true","Ryo-N7","`ggplot2` Themes & Palettes from popular TV shows!","Contains various `ggplot2` themes and color palettes based on TV showssuch as 'Game of Thrones', 'Brooklyn Nine-Nine', 'The Simpsons','Avatar"
"71","ggfittext","images/ggfittext.png","https://wilkox.org/ggfittext","wilkox","ggfittext","visualization,general,text","true","wilkox","`ggplot2` geoms to fit text in a box","Provides `ggplot2` geoms for automatically resizing and reflowing text tofit in a defined area, including bar and column plots."
"72","ggparty","images/martin-borkovec-ggparty.png","https://github.com/martin-borkovec/ggparty","martin-borkovec","ggparty","visualization,tree,partykit","true","martin-borkovec","`ggplot2` visualizations for the `partykit` package","ggparty aims to extend ggplot2 functionality to the partykit package.It provides the necessary tools to create clearly structured and highly customizable visualizationsfor tree-objects of the class 'party'"
"73","gggenes","images/gggenes.png","https://wilkox.org/gggenes","wilkox","gggenes","visualization,general,genetics","true","wilkox","`ggplot2` geoms to draw gene arrow maps","Provides a 'ggplot2' geom and helper functions for drawing gene arrowmaps, including labelling genes and highlighting subgene regions."
"74","gggenomes","images/gggenomes.png","https://thackl.github.io/gggenomes","thackl","gggenomes","visualization,genetics,genomics","true","thackl","a grammar of graphics for comparative genomics","a `ggplot2`-based versatile graphics package for comparative genomics adding dedicated layers for genes, mappings, syntenic regions, ..., and verbs to for example quickly zoom into gene neighborhoods."
"75","treemapify","images/treemapify.png","https://wilkox.org/treemapify","wilkox","treemapify","visualization,general,treemap","true","wilkox","Draw treemaps in `ggplot2`","Provides `ggplot2` geoms for drawing treemaps, including text labels andup to three levels of nested groups."
"76","lindia","images/lindia.png","https://github.com/yeukyul/lindia","yeukyul","lindia","visualization,general,diagnostics,regression","true","yeukyul","Create diagnostics plots for linear regression","Using `lindia` (short for linear-regression diagnostics), you cancreate all the basic diagnostic plots for a linear regression modelin `ggplot2` with just one function call."
"77","gghalves","images/erocoar-gghalves.png","https://github.com/erocoar/gghalves","erocoar","gghalves","visualization,general","true","erocoar","gghalves adds half-geoms to `ggplot2`.","`gghalves` makes it easy to compose your own half-half plots via `ggplot2`. Think displaying a boxplot next to jittered points, or violin plots side by side with dotplots."
"78","ggrastr","images/vpetukhov-ggrastr.png","https://github.com/VPetukhov/ggrastr","vpetukhov","ggrastr","visualization,raster","true","vpetukhov","Rasterize only specific layers of your plot","`ggrastr` provides set of geoms to rasterize only specific layers of the plot (e.g. large scatterplots)keeping all labels and text in vector format. Allows to keep your plots within the reasonable size limit withoutloosing vector properties of the scale-sensitive information."
"79","ggpointdensity","images/lkremer-ggpointdensity.png","https://github.com/LKremer/ggpointdensity","LKremer","ggpointdensity","visualization,general","true","LKremer","Introduces `geom_pointdensity()`","There are several ways to visualize data points on a 2D coordinate system"
"80","ggsom","images/ggsom.png","https://github.com/oldlipe/ggsom","oldlipe","ggsom","visualization,SOM,multi-dimensional,parallel-coordinates","true","oldlipe","The aim of this package is to offer more variability of graphics based on the self-organizing maps.","Analysis of multidimensional and time series data is useful and pertinent to several different applications, being a challenge due to the volume and complexity of the data.A possible approach for analysis of this kind of data is use clustering algorithms to reduce the dimensionality of the data.This package uses Self-Organizing Map to data dimensionality reduction. Use geom_class() to visualization in parallelel coordinates each neuron of the Self-Organizing Maps."
"81","ggnewscale","images/ggnewscale.png","https://github.com/eliocamp/ggnewscale","eliocamp","ggnewscale","visualization,general,scales","true","eliocamp","Use multiple fill and colour scales in 'ggplot2'.","Attempts to solve the lack of multiple colour scales in ggplot2 using a intuitive and familiar interface."
"82","ggh4x","images/teunbrand-ggh4x.png","https://teunbrand.github.io/ggh4x/","teunbrand","ggh4x","visualization,general,scales,facets","true","teunbrand","Options for tailored facets, multiple colourscales and miscellaneous","Expands options for facetted plots, including nested facets, adjusting sizes and facet-wise position scales.Also hosts a small selection of geoms, stats and positions."
"83","ggarrow","images/teunbrand-ggarrow.png","https://teunbrand.github.io/ggarrow/","teunbrand","ggarrow","visualization, arrows, lines","true","teunbrand","Arrow geoms and arrow theme element with customisation options","ggarrow provides a rich variant of paths with arrows. It includes optionsfor variable-width paths, customisable arrow heads, endpoint dodging, and placing arrow heads along the path."
"84","legendry","images/teunbrand-legendry.png","https://github.com/teunbrand/legendry","teunbrand","legendry","visualization, guide, legend, axis","true","teunbrand","Extended legends and axes","A ggplot2 extension that focusses on expanding the plotter's arsenal of guides. Guides in ggplot2 include axes and legends. legendry offers new axes and annotation options, as well as new legends and colour displays."
